feature,importance_mean,importance_std
Ni,1.1982107341018096,0.050346836747427105
Ag,0.37775513121328014,0.010825380189883863
Sn,0.11781061113337606,0.007148512995023927
Cu,0.11219079525978234,0.005145971333189854
Al,0.08559551353152524,0.0060592504271906366
Pb,0.03361999750568099,0.004564413355845458
Au,0.02586332147954773,0.0008615171352979877
Ga,0.018798160494478043,0.0010994919052001561
Sb,0.015990065776919592,0.0007585033738585432
In,0.012556388181105183,0.00042603828879343004
Zn,0.009831423321505906,0.0004911387458234743
Bi,0.007144390064007156,0.0006588204393719771
mixing_entropy,0.003831576901926992,0.00023285954738997355
max_frac,0.0032198924352674573,0.000528612649374155
var_frac,0.0006691157958752525,4.2444721829834446e-05
num_components,0.0005876355162467206,5.664279026939876e-05
gini_diversity,2.5997147247802664e-05,1.7182176887102214e-05
min_frac,0.0,0.0
sn_frac,0.0,0.0
sn_major,0.0,0.0
